File_Name,Time_dimension,Dist_dimension,Sampling_Rate
whidbey_2022-10-19_23-12-00_UTC_001508.h5,120000,1721,2000
whidbey_2022-10-19_23-13-00_UTC_001509.h5,120000,1721,2000
whidbey_2022-10-19_23-14-00_UTC_001510.h5,120000,1721,2000
whidbey_2022-10-19_23-15-00_UTC_001511.h5,120000,1721,2000
whidbey_2022-10-19_23-16-00_UTC_001512.h5,120000,1721,2000
whidbey_2022-10-19_23-17-00_UTC_001513.h5,120000,1721,2000
whidbey_2022-10-19_23-18-00_UTC_001514.h5,120000,1721,2000
whidbey_2022-10-19_23-19-00_UTC_001515.h5,120000,1721,2000
whidbey_2022-10-19_23-20-00_UTC_001516.h5,120000,1721,2000
whidbey_2022-10-19_23-21-00_UTC_001517.h5,120000,1721,2000
whidbey_2022-10-19_23-22-00_UTC_001518.h5,120000,1721,2000
whidbey_2022-10-19_23-23-00_UTC_001519.h5,120000,1721,2000
whidbey_2022-10-19_23-24-00_UTC_001520.h5,120000,1721,2000
whidbey_2022-10-19_23-25-00_UTC_001521.h5,120000,1721,2000
whidbey_2022-10-19_23-26-00_UTC_001522.h5,120000,1721,2000
whidbey_2022-10-19_23-27-00_UTC_001523.h5,120000,1721,2000
whidbey_2022-10-19_23-28-00_UTC_001524.h5,120000,1721,2000
whidbey_2022-10-19_23-29-00_UTC_001525.h5,120000,1721,2000
whidbey_2022-10-19_23-30-00_UTC_001526.h5,120000,1721,2000
whidbey_2022-10-19_23-31-00_UTC_001527.h5,120000,1721,2000
whidbey_2022-10-19_23-32-00_UTC_001528.h5,120000,1721,2000
whidbey_2022-10-19_23-33-00_UTC_001529.h5,120000,1721,2000
whidbey_2022-10-19_23-34-00_UTC_001530.h5,120000,1721,2000
whidbey_2022-10-19_23-35-00_UTC_001531.h5,120000,1721,2000
whidbey_2022-10-19_23-36-00_UTC_001532.h5,120000,1721,2000
whidbey_2022-10-19_23-37-00_UTC_001533.h5,120000,1721,2000
whidbey_2022-10-19_23-38-00_UTC_001534.h5,120000,1721,2000
whidbey_2022-10-19_23-39-00_UTC_001535.h5,120000,1721,2000
whidbey_2022-10-19_23-40-00_UTC_001536.h5,120000,1721,2000
whidbey_2022-10-19_23-41-00_UTC_001537.h5,120000,1721,2000
whidbey_2022-10-19_23-42-00_UTC_001538.h5,120000,1721,2000
whidbey_2022-10-19_23-43-00_UTC_001539.h5,120000,1721,2000
whidbey_2022-10-19_23-44-00_UTC_001540.h5,120000,1721,2000
whidbey_2022-10-19_23-45-00_UTC_001541.h5,120000,1721,2000
whidbey_2022-10-19_23-46-00_UTC_001542.h5,120000,1721,2000
whidbey_2022-10-19_23-47-00_UTC_001543.h5,120000,1721,2000
whidbey_2022-10-19_23-48-00_UTC_001544.h5,120000,1721,2000
whidbey_2022-10-19_23-49-00_UTC_001545.h5,120000,1721,2000
whidbey_2022-10-19_23-50-00_UTC_001546.h5,120000,1721,2000
whidbey_2022-10-19_23-51-00_UTC_001547.h5,120000,1721,2000
whidbey_2022-10-19_23-52-00_UTC_001548.h5,120000,1721,2000
whidbey_2022-10-19_23-53-00_UTC_001549.h5,120000,1721,2000
whidbey_2022-10-19_23-54-00_UTC_001550.h5,120000,1721,2000
whidbey_2022-10-19_23-55-00_UTC_001551.h5,120000,1721,2000
whidbey_2022-10-19_23-56-00_UTC_001552.h5,120000,1721,2000
whidbey_2022-10-19_23-57-00_UTC_001553.h5,120000,1721,2000
whidbey_2022-10-19_23-58-00_UTC_001554.h5,120000,1721,2000
whidbey_2022-10-19_23-59-00_UTC_001555.h5,120000,1721,2000
whidbey_2022-10-20_00-00-00_UTC_001556.h5,120000,1721,2000
whidbey_2022-10-20_00-01-00_UTC_001557.h5,120000,1721,2000
whidbey_2022-10-20_00-02-00_UTC_001558.h5,120000,1721,2000
whidbey_2022-10-20_00-03-00_UTC_001559.h5,120000,1721,2000
whidbey_2022-10-20_00-04-00_UTC_001560.h5,120000,1721,2000
whidbey_2022-10-20_00-05-00_UTC_001561.h5,120000,1721,2000
whidbey_2022-10-20_00-06-00_UTC_001562.h5,120000,1721,2000
whidbey_2022-10-20_00-07-00_UTC_001563.h5,120000,1721,2000
whidbey_2022-10-20_00-08-00_UTC_001564.h5,120000,1721,2000
whidbey_2022-10-20_00-09-00_UTC_001565.h5,120000,1721,2000
whidbey_2022-10-20_00-10-00_UTC_001566.h5,120000,1721,2000
whidbey_2022-10-20_00-11-00_UTC_001567.h5,120000,1721,2000
whidbey_2022-10-20_00-12-00_UTC_001568.h5,120000,1721,2000
whidbey_2022-10-20_00-13-00_UTC_001569.h5,120000,1721,2000
whidbey_2022-10-20_00-14-00_UTC_001570.h5,120000,1721,2000
whidbey_2022-10-20_00-15-00_UTC_001571.h5,120000,1721,2000
whidbey_2022-10-20_00-16-00_UTC_001572.h5,120000,1721,2000
whidbey_2022-10-20_00-17-00_UTC_001573.h5,120000,1721,2000
whidbey_2022-10-20_00-18-00_UTC_001574.h5,120000,1721,2000
whidbey_2022-10-20_00-19-00_UTC_001575.h5,120000,1721,2000
whidbey_2022-10-20_00-20-00_UTC_001576.h5,120000,1721,2000
whidbey_2022-10-20_00-21-00_UTC_001577.h5,120000,1721,2000
whidbey_2022-10-20_00-22-00_UTC_001578.h5,120000,1721,2000
whidbey_2022-10-20_00-23-00_UTC_001579.h5,120000,1721,2000
whidbey_2022-10-20_00-24-00_UTC_001580.h5,120000,1721,2000
whidbey_2022-10-20_00-25-00_UTC_001581.h5,120000,1721,2000
whidbey_2022-10-20_00-26-00_UTC_001582.h5,120000,1721,2000
whidbey_2022-10-20_00-27-00_UTC_001583.h5,120000,1721,2000
whidbey_2022-10-20_00-28-00_UTC_001584.h5,120000,1721,2000
whidbey_2022-10-20_00-29-00_UTC_001585.h5,120000,1721,2000
whidbey_2022-10-20_00-30-00_UTC_001586.h5,120000,1721,2000
whidbey_2022-10-20_00-31-00_UTC_001587.h5,120000,1721,2000
whidbey_2022-10-20_00-32-00_UTC_001588.h5,120000,1721,2000
whidbey_2022-10-20_00-33-00_UTC_001589.h5,120000,1721,2000
whidbey_2022-10-20_00-34-00_UTC_001590.h5,120000,1721,2000
whidbey_2022-10-20_00-35-00_UTC_001591.h5,120000,1721,2000
whidbey_2022-10-20_00-36-00_UTC_001592.h5,120000,1721,2000
whidbey_2022-10-20_00-37-00_UTC_001593.h5,120000,1721,2000
whidbey_2022-10-20_00-38-00_UTC_001594.h5,120000,1721,2000
whidbey_2022-10-20_00-39-00_UTC_001595.h5,120000,1721,2000
whidbey_2022-10-20_00-40-00_UTC_001596.h5,120000,1721,2000
whidbey_2022-10-20_00-41-00_UTC_001597.h5,120000,1721,2000
whidbey_2022-10-20_00-42-00_UTC_001598.h5,120000,1721,2000
whidbey_2022-10-20_00-43-00_UTC_001599.h5,120000,1721,2000
whidbey_2022-10-20_00-44-00_UTC_001600.h5,120000,1721,2000
whidbey_2022-10-20_00-45-00_UTC_001601.h5,120000,1721,2000
whidbey_2022-10-20_00-46-00_UTC_001602.h5,120000,1721,2000
whidbey_2022-10-20_00-47-00_UTC_001603.h5,120000,1721,2000
whidbey_2022-10-20_00-48-00_UTC_001604.h5,120000,1721,2000
whidbey_2022-10-20_00-49-00_UTC_001605.h5,120000,1721,2000
whidbey_2022-10-20_00-50-00_UTC_001606.h5,120000,1721,2000
whidbey_2022-10-20_00-51-00_UTC_001607.h5,120000,1721,2000
whidbey_2022-10-20_00-52-00_UTC_001608.h5,120000,1721,2000
whidbey_2022-10-20_00-53-00_UTC_001609.h5,120000,1721,2000
whidbey_2022-10-20_00-54-00_UTC_001610.h5,120000,1721,2000
whidbey_2022-10-20_00-55-00_UTC_001611.h5,120000,1721,2000
whidbey_2022-10-20_00-56-00_UTC_001612.h5,120000,1721,2000
whidbey_2022-10-20_00-57-00_UTC_001613.h5,120000,1721,2000
whidbey_2022-10-20_00-58-00_UTC_001614.h5,120000,1721,2000
whidbey_2022-10-20_00-59-00_UTC_001615.h5,120000,1721,2000
whidbey_2022-10-20_01-00-00_UTC_001616.h5,120000,1721,2000
whidbey_2022-10-20_01-01-00_UTC_001617.h5,120000,1721,2000
whidbey_2022-10-20_01-02-00_UTC_001618.h5,120000,1721,2000
whidbey_2022-10-20_01-03-00_UTC_001619.h5,120000,1721,2000
whidbey_2022-10-20_01-04-00_UTC_001620.h5,120000,1721,2000
whidbey_2022-10-20_01-05-00_UTC_001621.h5,120000,1721,2000
whidbey_2022-10-20_01-06-00_UTC_001622.h5,120000,1721,2000
whidbey_2022-10-20_01-07-00_UTC_001623.h5,120000,1721,2000
whidbey_2022-10-20_01-08-00_UTC_001624.h5,120000,1721,2000
whidbey_2022-10-20_01-09-00_UTC_001625.h5,120000,1721,2000
whidbey_2022-10-20_01-10-00_UTC_001626.h5,120000,1721,2000
whidbey_2022-10-20_01-11-00_UTC_001627.h5,120000,1721,2000
whidbey_2022-10-20_01-12-00_UTC_001628.h5,120000,1721,2000
whidbey_2022-10-20_01-13-00_UTC_001629.h5,120000,1721,2000
whidbey_2022-10-20_01-14-00_UTC_001630.h5,120000,1721,2000
whidbey_2022-10-20_01-15-00_UTC_001631.h5,120000,1721,2000
whidbey_2022-10-20_01-16-00_UTC_001632.h5,120000,1721,2000
whidbey_2022-10-20_01-17-00_UTC_001633.h5,120000,1721,2000
whidbey_2022-10-20_01-18-00_UTC_001634.h5,120000,1721,2000
whidbey_2022-10-20_01-19-00_UTC_001635.h5,120000,1721,2000
whidbey_2022-10-20_01-20-00_UTC_001636.h5,120000,1721,2000
whidbey_2022-10-20_01-21-00_UTC_001637.h5,120000,1721,2000
whidbey_2022-10-20_01-22-00_UTC_001638.h5,120000,1721,2000
whidbey_2022-10-20_01-23-00_UTC_001639.h5,120000,1721,2000
whidbey_2022-10-20_01-24-00_UTC_001640.h5,120000,1721,2000
whidbey_2022-10-20_01-25-00_UTC_001641.h5,120000,1721,2000
